pli,modele,seuil,f1,precision,rappel,roc_auc,pr_auc,brier,vp,fp,fn,vn,taux_alerte
1,Régression logistique — baseline,0.225,0.4671968190854871,0.33861671469740634,0.7532051282051282,0.6469522407022406,0.36192612795483925,0.1860460564170173,235,459,77,429,0.5783333333333334
1,Régression logistique + FE,0.255,0.4663316582914573,0.3396778916544656,0.7435897435897436,0.6522255428505429,0.3707425412542231,0.18563593899641068,232,451,80,437,0.5691666666666667
1,Forêt aléatoire,0.24,0.4722222222222222,0.34195402298850575,0.7628205128205128,0.6411519692769693,0.36455997549959723,0.18445583102619548,238,458,74,430,0.58
1,HistGradientBoosting,0.225,0.47081339712918663,0.33560709413369716,0.7884615384615384,0.6323523042273042,0.3526291612607747,0.18863041386892163,246,487,66,401,0.6108333333333333
1,LightGBM,0.27,0.45855758880516684,0.34521880064829824,0.6826923076923077,0.6353877916377917,0.35861949117693676,0.18809614030151642,213,404,99,484,0.5141666666666667
1,Ensemble (final),0.235,0.46596356663470756,0.332421340629275,0.7788461538461539,0.6481325075075075,0.36500903863317885,0.18557623724340863,243,488,69,400,0.6091666666666666
2,Régression logistique — baseline,0.31,0.48079658605974396,0.41935483870967744,0.5633333333333334,0.6954407407407407,0.4237424020747611,0.1704868587237881,169,234,131,666,0.3358333333333333
2,Régression logistique + FE,0.22,0.4893162393162393,0.360062893081761,0.7633333333333333,0.7013851851851853,0.44391084858363755,0.16906246267370212,229,407,71,493,0.53
2,Forêt aléatoire,0.225,0.48140495867768596,0.34880239520958084,0.7766666666666666,0.688162962962963,0.399020690828514,0.17247727240901498,233,435,67,465,0.5566666666666666
2,HistGradientBoosting,0.225,0.49278579356270813,0.36938435940099834,0.74,0.6909148148148148,0.4226934185500614,0.17129995796486958,222,379,78,521,0.5008333333333334
2,LightGBM,0.235,0.49596309111880044,0.37918871252204583,0.7166666666666667,0.6983296296296296,0.43161243231170077,0.17015158230983227,215,352,85,548,0.4725
2,Ensemble (final),0.24,0.49539170506912444,0.3785211267605634,0.7166666666666667,0.702262962962963,0.4382840646984367,0.1690710927038493,215,353,85,547,0.47333333333333333
3,Régression logistique — baseline,0.215,0.47514910536779326,0.3385269121813031,0.7966666666666666,0.6756666666666666,0.3795236239172194,0.17515115063862588,239,467,61,433,0.5883333333333334
3,Régression logistique + FE,0.185,0.47438330170777987,0.33156498673740054,0.8333333333333334,0.6799814814814815,0.39586326646330383,0.1738012995499365,250,504,50,396,0.6283333333333333
3,Forêt aléatoire,0.245,0.4669509594882729,0.3432601880877743,0.73,0.6752962962962963,0.38695395771686036,0.17441380174437526,219,419,81,481,0.5316666666666666
3,HistGradientBoosting,0.19,0.4690181124880839,0.32843791722296395,0.82,0.6715185185185185,0.3771753689301347,0.17633245147649276,246,503,54,397,0.6241666666666666
3,LightGBM,0.185,0.4710351377018044,0.3293492695883134,0.8266666666666667,0.6712296296296296,0.3928213507768795,0.17550809384932048,248,505,52,395,0.6275
3,Ensemble (final),0.195,0.4743465634075508,0.33424283765347884,0.8166666666666667,0.6787481481481481,0.39561091311375074,0.17407004032800452,245,488,55,412,0.6108333333333333
4,Régression logistique — baseline,0.145,0.47127393838467946,0.3201357466063348,0.8927444794952681,0.6625998978246657,0.39559368067288675,0.18267505006609008,283,601,34,282,0.7366666666666667
4,Régression logistique + FE,0.17,0.4732824427480916,0.3236658932714617,0.8801261829652997,0.6697878968672185,0.4022545760640443,0.18154705447090783,279,583,38,300,0.7183333333333334
4,Forêt aléatoire,0.19,0.47266313932980597,0.32802937576499386,0.8454258675078864,0.6397855032492472,0.36628435010065813,0.18616254271598862,268,549,49,334,0.6808333333333333
4,HistGradientBoosting,0.245,0.4751847940865892,0.35714285714285715,0.7097791798107256,0.6529646923486394,0.38717348243099947,0.18455227381772313,225,405,92,478,0.525
4,LightGBM,0.235,0.47082906857727735,0.3484848484848485,0.7255520504731862,0.657544719571578,0.3901469480572912,0.18394175637966137,230,430,87,453,0.55
4,Ensemble (final),0.24,0.4717948717948718,0.3495440729483283,0.7255520504731862,0.6661510265763045,0.39672402309624805,0.1821773702498649,230,428,87,455,0.5483333333333333
