variable,coefficient,odds_ratio
score_engagement,-0.4755980946653674,0.6215132215376042
canal_reservation_entreprise,-0.3719263301919359,0.689405028989649
taux_annulation_passe,0.26599718417357954,1.3047313847846504
annulations_passees,-0.24542713624689005,0.7823702881532257
delai_reservation_jours,0.23016225366011422,1.2588042389557141
type_acompte_total,-0.22407755158903875,0.79925314861413
reservation_directe,-0.21014189197475625,0.8104692387303152
region_hotel_Liguria,-0.205061200180484,0.8145974613742035
modifications_reservation,0.1882934484565228,1.2071877107484694
region_hotel_Trentino-Alto_Adige,-0.17460601365136183,0.8397878205366761
canal_reservation_telephone,0.14664815541095716,1.15794647414635
demandes_speciales,-0.14261826227607127,0.8670850047822924
formule_repas_pension_complete,-0.14018505132639764,0.8691973743884612
canal_reservation_plateforme_en_ligne,0.1236466656998391,1.1316159616186356
region_hotel_Sicilia,-0.12260426643811072,0.8846136646188681
region_hotel_Puglia,-0.12201775131338151,0.885132656096007
canal_reservation_site_hotel,0.1128618198673197,1.1194772327480313
sin_mois,0.11075338446185742,1.1171193738849388
categorie_hotel_5,0.10871539047915513,1.1148450096804818
marche_origine_Asie_Pacifique,-0.10663589195334598,0.8988528929860682
personnes_par_chambre,-0.09741833600212553,0.9071764221843135
region_hotel_Lombardia,-0.09646296530365724,0.9080435260932903
prix_relatif_hotel,0.09167531864291274,1.0960089106445516
region_hotel_Toscana,-0.08420321489588613,0.9192444329514087
marche_origine_Inconnu,-0.0805315632078876,0.9226257820948125
marche_origine_Europe_Centrale,0.0802514421680478,1.083559485971161
a_modifie,-0.07538593716825616,0.927385504718219
segment_client_loisirs_couple,-0.07363912684926914,0.929006886998906
tarif_remboursable_oui,0.07343718489312935,1.0762009328720314
moyen_transport_avion_direct,-0.07082097522601015,0.9316286618098173
moyen_transport_voiture,-0.06971671022621705,0.9326579949575445
personnes,0.0694573139216459,1.0719263038979798
sans_historique,0.06943130221495127,1.071898421627999
marche_origine_Autres,-0.06841583506991153,0.9338720560722752
client_type_fidele,0.06202459768726169,1.0639885160629234
enfants,0.05986417908711056,1.0616923367298445
montant_total_eur,-0.05722402209708551,0.9443824831230911
prix_impute,-0.053217012237111,0.9481742247441943
marche_origine_Italie,0.05159895220101186,1.052953373191127
nuits,0.05035557765343255,1.051644971352449
segment_client_groupe,0.05014080160782134,1.0514191274579126
prix_relatif_saison,-0.046377992384757795,0.9546810318206455
formule_repas_demi_pension,0.04547556318946729,1.0465254305578116
categorie_hotel_4,-0.04325197417969766,0.9576700515371115
enfants_manquant,0.04017737292109856,1.0409954022132393
segment_client_famille,0.038269407436302465,1.0390111124960872
adultes,0.03584675954132654,1.0364970010446064
prix_moyen_nuit_eur,-0.035623084989906836,0.9650039494184626
formule_repas_petit_dejeuner,-0.03545524868790637,0.965165925705119
flexibilite_totale,0.0333580556708957,1.0339206741335323
montant_par_nuit,0.03014591680983035,1.0306049055623925
region_hotel_Veneto,-0.028492182978302784,0.971909891557152
cos_mois,-0.02770086506961422,0.9726792856374815
region_hotel_Lazio,-0.025117473880674136,0.9751953453175366
moyen_transport_ferry,0.024041671220179653,1.0243330022073338
jours_liste_attente,-0.023564844050916803,0.9767106387409974
remise_pct,-0.023370169085518894,0.9769007983598562
delai_par_nuit,0.022697568470605625,1.0229571182744168
haute_saison_regionale,-0.022255116806320523,0.9779907013581024
moyen_transport_train,-0.021616450690703965,0.9786155103813858
region_hotel_Sardegna,0.02148324057932348,1.0217156668312202
client_type_nouveau,0.020511388731029107,1.0207231929188976
reservations_passees,0.020325335216857497,1.020533301447394
segment_client_solo,-0.020126728686976045,0.9800744618866528
type_acompte_partiel,-0.012820835097545195,0.9872610016967305
evenement_majeur,0.01278053871631887,1.0128625588492883
chambres,-0.012287706495572457,0.9877874791019589
prix_par_personne,-0.00997030245227273,0.9900792362379469
arrivee_weekend,-0.007532026970731097,0.9924962676612028
avec_enfants,0.004132930777042433,1.0041414831134587
demandes_manquant,-0.003805518611038168,0.9962017131984077
log_delai,-0.0031143182685204264,0.9968905261902513
marche_origine_Europe_Ouest,2.8349146886664503e-06,1.0000028349187071
