seuil,fp,fn,cout,f1
0.675,8,1217,1219.0,0.01921537229783827
0.68,5,1219,1220.25,0.01607717041800643
0.685,4,1219,1220.0,0.016090104585679808
0.69,2,1220,1220.5,0.014516129032258065
0.695,2,1220,1220.5,0.014516129032258065
0.7,2,1220,1220.5,0.014516129032258065
0.705,2,1221,1221.5,0.0129136400322841
0.71,2,1221,1221.5,0.0129136400322841
0.715,2,1221,1221.5,0.0129136400322841
0.72,2,1221,1221.5,0.0129136400322841
0.725,2,1222,1222.5,0.011308562197092083
0.73,2,1222,1222.5,0.011308562197092083
0.735,2,1222,1222.5,0.011308562197092083
0.74,1,1224,1224.25,0.008097165991902834
0.745,1,1224,1224.25,0.008097165991902834
0.75,1,1224,1224.25,0.008097165991902834
0.755,1,1224,1224.25,0.008097165991902834
0.76,1,1224,1224.25,0.008097165991902834
0.765,1,1225,1225.25,0.006482982171799027
0.77,1,1225,1225.25,0.006482982171799027
0.775,1,1225,1225.25,0.006482982171799027
0.78,1,1225,1225.25,0.006482982171799027
0.785,1,1225,1225.25,0.006482982171799027
0.79,1,1226,1226.25,0.004866180048661801
0.795,1,1226,1226.25,0.004866180048661801
0.8,1,1226,1226.25,0.004866180048661801
0.805,0,1227,1227.0,0.003249390739236393
0.81,0,1227,1227.0,0.003249390739236393
0.815,0,1227,1227.0,0.003249390739236393
0.82,0,1227,1227.0,0.003249390739236393
0.825,0,1227,1227.0,0.003249390739236393
0.83,0,1227,1227.0,0.003249390739236393
0.835,0,1227,1227.0,0.003249390739236393
0.84,0,1227,1227.0,0.003249390739236393
0.845,0,1227,1227.0,0.003249390739236393
0.85,0,1227,1227.0,0.003249390739236393
0.855,0,1227,1227.0,0.003249390739236393
0.86,0,1228,1228.0,0.0016260162601626016
0.865,0,1229,1229.0,0.0
0.87,0,1229,1229.0,0.0
0.875,0,1229,1229.0,0.0
0.88,0,1229,1229.0,0.0
0.885,0,1229,1229.0,0.0
0.89,0,1229,1229.0,0.0
0.895,0,1229,1229.0,0.0
0.9,0,1229,1229.0,0.0
0.905,0,1229,1229.0,0.0
0.91,0,1229,1229.0,0.0
0.915,0,1229,1229.0,0.0
0.92,0,1229,1229.0,0.0
0.925,0,1229,1229.0,0.0
0.93,0,1229,1229.0,0.0
0.935,0,1229,1229.0,0.0
0.94,0,1229,1229.0,0.0
0.945,0,1229,1229.0,0.0
0.95,0,1229,1229.0,0.0
